City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Camiri,BO,80.6,overcast clouds,-20.05,-63.5167,J R Hotel
6,Saint Anthony,US,84.2,few clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
9,Puerto Ayora,EC,86.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Galesong,ID,75.2,few clouds,-5.3166,119.3661,Sapriadi Appy
15,Alyangula,AU,81.25,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
21,Rikitea,PF,78.39,scattered clouds,-23.1203,-134.9692,Pension Maro'i
24,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Kapaa,US,80.6,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
32,Vanimo,PG,79.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
34,Butaritari,KI,80.6,moderate rain,3.0707,172.7902,Isles Sunset Lodge
36,Atuona,PF,80.29,light rain,-9.8,-139.0333,Villa Enata
40,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
52,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Hithadhoo,MV,83.97,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Sur,OM,80.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
56,Kantunilkin,MX,80.6,broken clouds,21.0917,-87.45,Posada Paraiso
63,Bubaque,GW,76.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Keokuk,US,78.8,clear sky,40.3973,-91.3849,Hampton Inn Keokuk
65,Mount Isa,AU,78.8,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
71,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
75,Matara,LK,75.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
83,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
86,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Vao,NC,76.32,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
90,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
91,Boyolangu,ID,75.25,overcast clouds,-8.1181,111.8935,Yos ega cv
93,Namibe,AO,77.07,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
95,Luanda,AO,75.2,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
97,Paciran,ID,78.75,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
98,Vila Velha,BR,75.2,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
99,Quelimane,MZ,77.0,few clouds,-17.8786,36.8883,Hotel Flamingo
101,Cabo San Lucas,MX,89.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Gudivada,IN,76.87,scattered clouds,16.45,80.9833,B.C Hostel
108,Tiarei,PF,86.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
113,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
123,Lagunillas,VE,83.05,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
134,Samarai,PG,83.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
141,Sompeta,IN,76.69,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
145,Barra Do Garcas,BR,84.2,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
153,Gigmoto,PH,79.45,broken clouds,13.7796,124.39,Cj's Travellers Inn
157,Banda Aceh,ID,78.78,overcast clouds,5.5577,95.3222,Sulthan Hotel International
160,Hamilton,US,75.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
165,Saint George,US,84.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
166,Kampot,KH,82.4,scattered clouds,10.6167,104.1833,Two Moons Hotel
169,Kavieng,PG,83.16,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
170,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
174,Pangai,TO,82.4,few clouds,-19.8,-174.35,Ha'apai Beach Resort
182,Puerto Carreno,CO,79.84,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
184,Lamu,KE,82.4,clear sky,-2.2717,40.902,Lamu House
185,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
186,Chabahar,IR,79.0,scattered clouds,25.2919,60.643,هتل گدروشیا
192,Tomatlan,MX,83.82,clear sky,19.9333,-105.25,Norma franco
199,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
202,Akim Swedru,GH,76.28,broken clouds,5.8938,-1.0164,Green Pearls Inn
208,Teacapan,MX,79.79,clear sky,22.55,-105.75,Hotel los Mangos
209,Maicao,CO,83.1,overcast clouds,11.3832,-72.2432,Hotel Sancho
216,Caravelas,BR,75.27,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
221,Harper,LR,79.88,overcast clouds,4.375,-7.7169,Screensaver
224,Portel,BR,75.67,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
225,Mahajanga,MG,78.8,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
237,Muncar,ID,75.63,overcast clouds,-8.4333,114.3333,Zaky Homestay
239,Kingston,JM,82.4,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
245,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
247,Jardim,BR,83.55,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
256,Kalmunai,LK,77.85,broken clouds,7.4167,81.8167,VS Villa
257,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
258,Carutapera,BR,77.83,overcast clouds,-1.195,-46.02,Lidera
261,Denpasar,ID,80.6,heavy intensity rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
265,Kahului,US,77.0,light rain,20.8947,-156.47,Maui Seaside Hotel
266,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
275,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
280,San Rafael,AR,76.12,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
281,Mirzapur,IN,77.94,few clouds,25.15,82.5833,Capital O 5843 Hotel Yash Inn
282,Kirksville,US,78.8,clear sky,40.1948,-92.5833,Budget Host-Village Inn
286,Shimoni,KE,80.83,light rain,-4.6476,39.3817,Shimoni Reef Lodge
290,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,San Patricio,US,77.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
299,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
303,Merauke,ID,80.82,overcast clouds,-8.4667,140.3333,PC
313,Laje,BR,78.01,scattered clouds,-10.1833,-40.9667,Pousada Centro
318,Isangel,VU,78.8,few clouds,-19.55,169.2667,Volcano Sea View Tree House
328,Grand Gaube,MU,78.01,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
330,Yeppoon,AU,75.2,overcast clouds,-23.1333,150.7333,Villa Mar Colina
336,Morehead,US,75.2,clear sky,37.2711,-87.1764,CCI Express Inn
