City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,33.8,93,90,14.97,light snow
1,Dolores,AR,-36.3132,-57.6792,66.67,88,36,7.94,scattered clouds
2,Albany,US,42.6001,-73.9662,59.0,22,20,14.97,few clouds
3,Kaitangata,NZ,-46.2817,169.8464,64.0,45,16,15.01,few clouds
4,Camiri,BO,-20.05,-63.5167,80.6,69,90,4.09,overcast clouds
5,Cidreira,BR,-30.1811,-50.2056,73.44,78,82,16.37,broken clouds
6,Saint Anthony,US,45.0205,-93.218,84.2,28,20,11.5,few clouds
7,Margate,GB,51.3813,1.3862,39.99,42,6,8.01,clear sky
8,Tasiilaq,GL,65.6145,-37.6368,15.8,86,75,21.85,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,86.0,66,20,17.27,few clouds
10,Galesong,ID,-5.3166,119.3661,75.2,100,20,2.3,few clouds
11,Gao,ML,16.6362,1.637,84.07,5,2,8.93,clear sky
12,Victoria,HK,22.2855,114.1577,73.0,84,100,1.01,overcast clouds
13,Kodiak,US,57.79,-152.4072,39.2,30,1,24.16,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,100,6.91,overcast clouds
15,Alyangula,AU,-13.8483,136.4192,81.25,53,8,2.55,clear sky
16,Husavik,IS,66.0449,-17.3389,17.6,79,40,3.44,light snow
17,Boysun,UZ,38.2061,67.1986,42.85,60,3,3.87,clear sky
18,Santander,ES,43.4647,-3.8044,54.0,76,90,5.75,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,41.0,75,0,3.44,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,46.4,61,0,8.05,clear sky
21,Rikitea,PF,-23.1203,-134.9692,78.39,67,46,13.78,scattered clouds
22,Homer,US,59.6425,-151.5483,30.2,59,1,6.91,clear sky
23,Price,US,39.5994,-110.8107,73.4,8,1,24.16,clear sky
24,Vaini,TO,-21.2,-175.2,80.6,69,20,11.5,few clouds
25,Mataura,NZ,-46.1927,168.8643,61.0,71,51,5.01,broken clouds
26,Hobart,AU,-42.8794,147.3294,59.0,82,20,5.75,few clouds
27,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,6.91,clear sky
